concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2100000007,3016502,Maps to,20240101,20991231,
2100000008,3038553,Maps to,20240101,20991231,
2100000009,4218316,Maps to,20240101,20991231,
2100000010,4214956,Maps to,20240101,20991231,
2100000011,3004249,Maps to,20240101,20991231,
2100000012,3004249,Maps to,20240101,20991231,
2100000013,4052536,Maps to,20240101,20991231,
2100000014,4214956,Maps to,20240101,20991231,
2100000015,4214956,Maps to,20240101,20991231,
2100000016,3027018,Maps to,20240101,20991231,
2100000017,4214956,Maps to,20240101,20991231,
2100000018,437264,Maps to,20240101,20991231,
2100000019,4214956,Maps to,20240101,20991231,
2100000020,4052536,Maps to,20240101,20991231,
